taxon_id,gbif_taxonID,scientific_name,common_name,blm_status,kingdom,phylum,class,order,family,genus,species,subspecies,variety
3171394,3171394,Penstemon grahamii,Graham's beardtongue,S; P,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon grahamii,NA,NA
3171313,3171313,Penstemon idahoensis,Idaho penstemon,S,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon idahoensis,NA,NA
3171466,3171466,Penstemon pinorum,Pinyon penstemon,S,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon pinorum,NA,NA
3730682,3730682,Penstemon scariosus var albifluvis,White River beardtongue,S; P,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon scariosus,NA,Penstemon scariosus albifluvis
3171566,3171566,Penstemon wardii,Ward's penstemon,S,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon wardii,NA,NA
3146462,3146462,Perityle specuicola,Alcove rock-daisy,S,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Perityle,Perityle specuicola,NA,NA
2874839,2874839,Petalonyx parryii,Parry's petalonyx,S,Plantae,Tracheophyta,Magnoliopsida,Cornales,Loasaceae,Petalonyx,NA,NA,NA
3612027,3612027,Phacelia argylensis,Argyle Canyon phacelia,S,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia argylensis,NA,NA
2928084,2928084,Phacelia cronquistiana,Cronquist's phacelia,S,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia cronquistiana,NA,NA
2928110,2928110,Phacelia indecora,Bluff phacelia,S,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia indecora,NA,NA
3612211,3612211,Phacelia pulchella var atwoodii,Atwood's pretty phacelia,S,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia pulchella,NA,Phacelia pulchella atwoodii
2928137,2928137,Phacelia utahensis,Utah phacelia,S,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia utahensis,NA,NA
4022476,4022476,Phemeranthus thompsonii,Thompson's talinum; Cedar Mountain fameflower,S,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Montiaceae,Phemeranthus,Phemeranthus thompsonii,NA,NA
5367455,5367455,Potentilla cottamii,Cottam's cinquefoil,S,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla cottamii,NA,NA
6390384,6390384,Primula cusickiana var domensis,House Range primrose,S,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Primula,Primula domensis,NA,Primula cusickiana domensis
2940434,2940434,Psorothamnus polydenius var jonesii,Jones indigo bush; Jones' dalea,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Psorothamnus,Psorothamnus polydenius,NA,Psorothamnus polydenius jonesii
7715255,7715255,Sphaeralcea caespitosa var caespitosa,Jones globemallow; Tufted globemallow,S,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sphaeralcea,Sphaeralcea caespitosa,NA,Sphaeralcea caespitosa caespitosa
3905478,3905478,Salvia columbariae var argillacea,Chinle chia,S,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia columbariae,NA,Salvia columbariae argillacea
3938625,3938625,Sphaeralcea grossulariifolia var fumariensis,Smoky Mt. globemallow,S,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sphaeralcea,Sphaeralcea fumariensis,NA,Sphaeralcea grossulariifolia fumariensis
3152471,3152444,Sphaeralcea janeae,Jane's globemallow,S,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sphaeralcea,Sphaeralcea leptophylla,NA,NA
3152463,3152463,Sphaeralcea psoraloides,Psorlea globemallow,S,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sphaeralcea,Sphaeralcea psoraloides,NA,NA
10756465,10756465,Stephanomeria occultata,Hidden wirelettuce; Disguised wirelettuce,S,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Stephanomeria,Stephanomeria occultata,NA,NA
10755746,10755746,Terraria haydenii,Hayden's mustard,S,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Terraria,Terraria haydenii,NA,NA
3095925,3095926,Thelesperma caespitosum,Low greenthread,S,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Thelesperma,Thelesperma subnudum,NA,NA
4216698,4216698,Thelesperma subnudum var alpinum,Alpine greenthread,S,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Thelesperma,Thelesperma subnudum,NA,Thelesperma subnudum alpinum
3053898,3053898,Thelypodiopsis ambigua var erecta,Kanab thelyplody,S,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Thelypodiopsis,Thelypodiopsis ambigua,NA,Thelypodiopsis ambigua erecta
5693557,5693557,Townsendia beamanii,Beaman's townsendia,S,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Townsendia,Townsendia beamanii,NA,NA
5693523,5693523,Townsendia jonesii var lutea,Sevier townsendia,S,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Townsendia,Townsendia aprica,NA,Townsendia jonesii lutea
5693489,5693489,Townsendia strigosa var prolixa,Strigose townsendia,S,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Townsendia,Townsendia strigosa,NA,Townsendia strigosa prolixa
5611371,5611371,Trifolium friscanum,Frisco clover,S; C,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium friscanum,NA,NA
5613000,5613000,Trifolium variegatum var parunuweapensis,Sand seep clover; Kane white-tip clover,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium wormskioldii,NA,Trifolium variegatum parunuweapensis
3723270,3723270,Yucca sterilis,Sterile yucca,S,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca,Yucca sterilis,NA,NA
7762811,7762811,NA,NA,NA,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum,NA,NA,NA
7762811,7762811,NA,NA,NA,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum,NA,NA,NA
7762811,7762811,NA,NA,NA,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum,NA,NA,NA
7762811,7762811,NA,NA,NA,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum,NA,NA,NA
