common_name,scientific_name,mbta,federally_endangered,federally_threatened,bcc_rangewide_in_continental_us_and_or_pr_and_vi_or_hi_and_pacific_islands,bc_rs_for_bcc_listing_non_breeding,bc_rs_for_bcc_listing_breeding,gbif_taxonID,kingdom,phylum,class,order,family,genus,species,taxon_id
Grasshopper Sparrow,Ammodramus savannarum,Y,Ssp. floridanus only ‐ wherever found,NA,No ‐ ssp. perpallidus and pratensis only,NA,"11,17,18,20,22,23,24,27,29,30",2491123,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammodramus,Ammodramus savannarum,2491123
Gray‐backed Tern,Onychoprion lunatus,Y,NA,NA,Yes,NA,102,5789278,Animalia,Chordata,Aves,Charadriiformes,Laridae,Onychoprion,Onychoprion lunatus,5789278
Gray‐headed Chickadee,Poecile cinctus,Y,NA,NA,Yes ‐ ssp. lathami only,NA,"3,4",2487862,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,Poecile cinctus,2487862
Great Blue Heron,Ardea herodias,Y,NA,NA,No ‐ ssp. occidentalis only,NA,31,9630752,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea herodias,9630752
Great Frigatebird,Fregata minor,Y,NA,NA,Yes ‐ ssp. palmerstoni only,NA,102,2480187,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,Fregata minor,2480187
Greater Prairie‐Chicken,Tympanuchus cupido,N,Ssp. attwateri only ‐ wherever found,NA,NA,NA,NA,2473510,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tympanuchus,Tympanuchus cupido,2473510
Guadalupe Murrelet,Synthliboramphus hypoleucus,Y,NA,NA,Yes,M17,NA,2481351,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Synthliboramphus,Synthliboramphus hypoleucus,2481351
Guam Kingfisher,Todiramphus cinnamominus,Y,Wherever found,NA,NA,NA,NA,2475795,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Todiramphus,Todiramphus cinnamominus,2475795
Guam Rail,Gallirallus owstoni,Y,"Wherever found, except where listed as
an experimental population (Rota)",NA,NA,NA,NA,2474548,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallirallus,Gallirallus owstoni,2474548
Gull‐billed Tern,Gelochelidon nilotica,Y,NA,NA,Yes,NA,"27,30,31,32,33,36,37",2481263,Animalia,Chordata,Aves,Charadriiformes,Laridae,Gelochelidon,Gelochelidon nilotica,2481263
Gunnison sage‐grouse,Centrocercus minimus,N,NA,Wherever found,NA,NA,NA,5959243,Animalia,Chordata,Aves,Galliformes,Phasianidae,Centrocercus,Centrocercus minimus,5959243
Harris's Hawk,Parabuteo unicinctus,Y,NA,NA,No ‐ ssp. harrisi only,NA,36,2480410,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Parabuteo,Parabuteo unicinctus,2480410
Hawaii ʻAkepa,Loxops coccineus,Y,Wherever found,NA,NA,NA,NA,5231618,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxops,Loxops coccineus,5231618
Hawaii ʻAmakihi,Chlorodrepanis virens,Y,NA,NA,Yes,NA,102,8346110,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Chlorodrepanis,Chlorodrepanis virens,8346110
Hawaii Creeper,Loxops mana,Y,Wherever found,NA,NA,NA,NA,5231614,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxops,Loxops mana,5231614
Hawaiian Coot,Fulica alai,Y,Wherever found,NA,NA,NA,NA,2474386,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,Fulica alai,2474386
Hawaiian Crow,Corvus hawaiiensis,Y,Wherever found,NA,NA,NA,NA,2482517,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus hawaiiensis,2482517
Hawaiian Duck,Anas wyvilliana,Y,Wherever found,NA,NA,NA,NA,2498072,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas wyvilliana,2498072
Hawaiian Goose (Nene),Branta sandvicensis,Y,NA,Wherever found,NA,NA,NA,5232445,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,Branta sandvicensis,5232445
Hawaiian Hawk,Buteo solitarius,Y,NA,NA,Yes,NA,102,2480528,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo solitarius,2480528
Hawaiian Petrel,Pterodroma sandwichensis,Y,Wherever found,NA,NA,NA,NA,2481449,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma sandwichensis,2481449
Heermann's Gull,Larus heermanni,Y,NA,NA,Yes,NA,32,2481130,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus heermanni,2481130
Henslow's Sparrow,Centronyx henslowii,Y,NA,NA,Yes,"21,25,26,27,31,37","11,22,23,24,28",10850807,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx henslowii,10850807
Hermit Warbler,Setophaga occidentalis,Y,NA,NA,No,NA,15,6092644,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga occidentalis,6092644
Horned Lark,Eremophila alpestris,Y,NA,Ssp. strigata only ‐ wherever found,NA,NA,NA,9415596,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Eremophila,Eremophila alpestris,9415596
Hudsonian Godwit,Limosa haemastica,Y,NA,NA,Yes,"11,14,18,19,22,30,37","2,4",2481680,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,Limosa haemastica,2481680
ʻIʻiwi,Drepanis coccinea,Y,NA,Wherever found,NA,NA,NA,8070758,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Vestiaria,Vestiaria coccinea,5231615
Island Scrub‐Jay,Aphelocoma insularis,Y,NA,NA,Yes,NA,32,2482399,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma insularis,2482399
Ivory Gull,Pagophila eburnea,Y,NA,NA,Yes,"M12,M14",NA,2481202,Animalia,Chordata,Aves,Charadriiformes,Laridae,Pagophila,Pagophila eburnea,2481202
