taxon_id,gbif_taxonID,scientific_name,common_name,s_rank_1,n_rank_2,federal_status,kingdom,phylum,class,order,family,genus,species,subspecies,variety
1034905,1034905,Cicindella albissima,Coral Pink Sand Dunes Tiger Beetle,S1,N1,NA,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela,Cicindela albissima,NA,NA
7205993,7205993,Speyeria nokomis nokomis,Great Basin Silverspot Butterfly,S2,N3,NA,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Speyeria,Speyeria nokomis,Speyeria nokomis nokomis,NA
1356353,1356353,Perdita meconis,Mojave Poppy Bee,SX,N2,NA,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita,Perdita meconis,NA,NA
7207515,7207515,Danaus plexippus plexippus,Monarch Butterfly,SNR,NNR/G4,NA,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,Danaus plexippus plexippus,NA
10883874,10883874,Bombus occidentalis occidentalis,Western Bumble Bee,SNR,NNR/G4,NA,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus occidentalis,Bombus occidentalis occidentalis,NA
4264457,4264457,Thomomys bottae robustus,Botta's Pocket Gopher,S2,N2,NA,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys bottae,Thomomys bottae robustus,NA
8722120,8722120,Microtus montanus rivularis,Montane Vole,SH,N2,NA,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus montanus,Microtus montanus rivularis,NA
2432525,2432525,Idionycteris phyllotis,Allen's Big-eared Bat,S3,N3/N4,NA,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Idionycteris,Idionycteris phyllotis,NA,NA
2436982,2436982,Ochotona princeps,American Pika,S4,N5,NA,Animalia,Chordata,Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona princeps,NA,NA
5218985,5218985,Mustela nigripes,Black-footed Ferret,S1,N1,Endangered,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela nigripes,NA,NA
2435263,2435263,Lynx canadensis,Canadian Lynx,S2,N4?,Threatened,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx canadensis,NA,NA
4263219,4263219,Dipodomys microps celsus,Chisel-toothed Kangaroo Rat,S1?,N4,NA,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys microps,Dipodomys microps celsus,NA
2439502,2439502,Microdipodops megacephalus,Dark Kangaroo Mouse,S3,N4,NA,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Microdipodops,Microdipodops megacephalus,NA,NA
2436108,2436108,Sorex nanus,Dwarf Shrew,S3,N4,NA,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex nanus,NA,NA
2432399,2432399,Myotis thysanodes,Fringed Myotis,S2B,N4,NA,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis thysanodes,NA,NA
5219173,5219173,Canis lupus,Gray Wolf,SX,N4,Endangered,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,NA,NA
2437236,2437236,Cynomys gunnisoni,Gunnison's Prairie Dog,S3,N5,NA,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Cynomys,Cynomys gunnisoni,NA,NA
2439384,2439384,Thomomys idahoensis,Idaho Pocket Gopher,SH,N4,NA,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys idahoensis,NA,NA
5219311,5219311,Vulpes macrotis,Kit Fox,S3,N4,NA,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes macrotis,NA,NA
2432406,2432406,Myotis lucifugus,Little Brown Myotis,S4,N3/N4,NA,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,NA,NA
2432413,2432413,Myotis evotis,Long-eared Myotis,S3/S4,N4/N5,NA,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis evotis,NA,NA
2432411,2432411,Myotis volans,Long-legged Myotis,S3/S4,N5,NA,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis volans,NA,NA
