group,scientific_name,common_name,gbif_taxonID,kingdom,phylum,class,order,family,genus,species,taxon_id
Fish,Scaphirhynchus albus,Pallid Sturgeon,2402088,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Scaphirhynchus,Scaphirhynchus albus,2402088
Fish,Acipenser,White Sturgeon,2340025,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,NA,2340025
NA,transmontanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish,Cycleptus elongatus,Blue Sucker,2359101,Animalia,Chordata,NA,Cypriniformes,Catostomidae,Cycleptus,Cycleptus elongatus,2359101
Fish,Thymallus arcticus,Arctic Grayling,5711974,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Thymallus,Thymallus arcticus,5711974
Fish,Salvelinus confluentus,Bull Trout,2351244,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Salvelinus,Salvelinus confluentus,2351244
Fish,Oncorhynchus mykiss,Columbia River,5204019,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,5204019
NA,gairdneri,Redband Trout,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish,Salvelinus namaycush,Lake Trout,2351327,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Salvelinus,Salvelinus namaycush,2351327
Fish,Prosopium coulteri,Pygmy Whitefish,2351517,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Prosopium,Prosopium coulterii,2351517
Fish,Oncorhynchus clarkii,Westslope Cutthroat,5711980,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,5711980
NA,lewisi,Trout,3248516,Animalia,Mollusca,Gastropoda,Cycloneritida,Helicinidae,Lewisia,NA,3248516
Fish,Oncorhynchus clarkii,Yellowstone Cutthroat,5711980,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,5711980
NA,bouvieri,Trout,3243848,Animalia,Mollusca,Gastropoda,Pleurobranchida,Pleurobranchidae,Berthella,NA,2302615
Fish,Percopsis,Trout-perch,2401706,Animalia,Chordata,NA,Percopsiformes,Percopsidae,Percopsis,NA,2401706
NA,omiscomaycus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mammals,Myotis thysanodes,Fringed Myotis,2432399,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis thysanodes,2432399
Mammals,Lasiurus cinereus,Hoary Bat,5218544,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,11138256
Mammals,Myotis lucifugus,Little Brown Myotis,2432406,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,2432406
