taxon_id,scientific_name,common_name,status_area,status_authority,status_all,status_simple,status_type
5959240,Centrocercus urophasianus,greater sage-grouse,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2491893,Calamospiza melanocorys,lark bunting,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2478142,Melanerpes lewis,Lewis’s woodpecker,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2492870,Lanius ludovicianus,loggerhead shrike,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2481794,Numenius americanus,long-billed curlew,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
6093927,Rhynchophanes mccownii,thick-billed longspur,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2480292,Charadrius montanus,mountain plover,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2480589,Accipiter atricapillus,northern goshawk,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2480487,Circus cyaneus,northern harrier,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
5229743,Contopus cooperi,olive-sided flycatcher,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
5229498,Gymnorhinus cyanocephalus,pinyon jay,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2489129,Progne subis,purple martin,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
8276794,Artemisiospiza nevadensis,sagebrush sparrow,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2497295,Asio flammeus,short-eared owl,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2498345,Cygnus buccinator,trumpeter swan,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
8314699,Leiothlypis virginiae,Virginia’s warbler,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
5227717,Lagopus leucura,white-tailed ptarmigan,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2426785,Rana luteiventris,Columbia spotted frog,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2427185,Lithobates pipiens,northern leopard frog,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2427062,Lithobates blairi,plains leopard frog,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2422924,Anaxyrus boreas,western (boreal) toad,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2427072,Rana  sylvatica,wood frog,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
6161633,Storeria occipitomaculata pahasapae,Black Hills redbelly snake,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
4286866,Pantosteus discobolus,bluehead sucker,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
5853893,Oncorhynchus clarkii pleuriticus,Colorado River cutthroat,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2365558,Chrosomus neogaeus,finescale dace,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2359036,Catostomus latipinnis,flannelmouth sucker,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2362460,Platygobio gracilis,flathead chub,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2365443,Nocomis biguttatus,hornyhead chub,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2360898,Couesius plumbeus,lake chub,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2359047,Pantosteus platyrhynchus,mountain sucker,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2365385,Chrosomus eos,northern redbelly dace,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2360891,Margariscus nachtriebi,northern pearl dace,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2364391,Hybognathus placitus,plains minnow,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
5203693,Fundulus sciadicus,plains topminnow,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2360118,Gila pandora,Rio Grande chub,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
5711985,Oncorhynchus clarkii virginalis,Rio Grande cutthroat trout,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2359044,Pantosteus plebeius,Rio Grande sucker,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2360128,Gila robusta,roundtail chub,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2365382,Chrosomus erythrogaster,southern redbelly dace,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2362060,Macrhybopsis gelida,sturgeon chub,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
5722956,Oncorhynchus clarkii bouveri,Yellowstone cutthroat,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
