ID_taxonID,scientificName,sPrimaryCommonName,synonymName,SWAP2015,SWAP2023,SWAP2023designation,lastUpdated,taxonomyNotes,comments,gbif_taxonID,kingdom,phylum,class,order,family,genus,species,taxon_id,subspecies,variety
18640,Antigone canadensis,Sandhill Crane,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,9036008,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,Grus canadensis,2474953,NA,NA
16247,Gymnorhinus cyanocephalus,Pinyon Jay,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,5229498,Animalia,Chordata,Aves,Passeriformes,Corvidae,Gymnorhinus,Gymnorhinus cyanocephalus,5229498,NA,NA
16032,Nucifraga columbiana,Clark's Nutcracker,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2482614,Animalia,Chordata,Aves,Passeriformes,Corvidae,Nucifraga,Nucifraga columbiana,2482614,NA,NA
17674,Perisoreus canadensis,Canada Jay,NA,NA,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2482436,Animalia,Chordata,Aves,Passeriformes,Corvidae,Perisoreus,Perisoreus canadensis,2482436,NA,NA
15540,Ammodramus savannarum,Grasshopper Sparrow,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2491123,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammodramus,Ammodramus savannarum,2491123,NA,NA
18549,Artemisiospiza nevadensis,Sagebrush Sparrow,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,8276794,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Artemisiospiza,Artemisiospiza nevadensis,8276794,NA,NA
15831,Spizella breweri,Brewer's Sparrow,NA,NA,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2492099,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,Spizella breweri,2492099,NA,NA
17261,Coccothraustes vespertinus,Evening Grosbeak,NA,NA,TRUE,SGIN - E,2024-04-16T00:00:00Z,NA,NA,2494321,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Hesperiphona,Hesperiphona vespertina,2494324,NA,NA
16011,Haemorhous cassinii,Cassin's Finch,NA,NA,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,8255548,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous cassinii,8255548,NA,NA
19308,Leucosticte atrata,Black Rosy-Finch,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2494372,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,Leucosticte atrata,2494372,NA,NA
18169,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,NA,NA,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2494360,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,Leucosticte tephrocotis,2494360,NA,NA
1344926,Loxia sinesciuris,Cassia Crossbill,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,9308032,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,Loxia sinesciuris,9308032,NA,NA
17303,Dolichonyx oryzivorus,Bobolink,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2484417,Animalia,Chordata,Aves,Passeriformes,Icteridae,Dolichonyx,Dolichonyx oryzivorus,2484417,NA,NA
18626,Lanius ludovicianus,Loggerhead Shrike,NA,NA,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2492870,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius ludovicianus,2492870,NA,NA
16738,Oreoscoptes montanus,Sage Thrasher,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2494973,Animalia,Chordata,Aves,Passeriformes,Mimidae,Oreoscoptes,Oreoscoptes montanus,2494973,NA,NA
18359,Anthus rubescens,American Pipit,NA,NA,TRUE,SGIN - E,2024-04-16T00:00:00Z,NA,NA,2490263,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus rubescens,2490263,NA,NA
15875,Cardellina pusilla,Wilson's Warbler,NA,NA,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,7341606,Animalia,Chordata,Aves,Passeriformes,Parulidae,Cardellina,Cardellina pusilla,7341606,NA,NA
16929,Contopus cooperi,Olive-sided Flycatcher,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,5229743,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,Contopus cooperi,5229743,NA,NA
17345,Pelecanus erythrorhynchos,American White Pelican,NA,TRUE,TRUE,SGIN - E,2024-04-16T00:00:00Z,NA,NA,5229155,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus erythrorhynchos,5229155,NA,NA
19990,Melanerpes lewis,Lewis's Woodpecker,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2478142,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,Melanerpes lewis,2478142,NA,NA
15618,Dryobates albolarvatus,White-headed Woodpecker,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,Formerly included in the genus Picoides.,NA,10876512,Animalia,Chordata,Aves,Piciformes,Picidae,Leuconotopicus,Leuconotopicus albolarvatus,9128444,NA,NA
18337,Aechmophorus clarkii,Clark's Grebe,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2482032,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,Aechmophorus clarkii,2482032,NA,NA
19787,Aechmophorus occidentalis,Western Grebe,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2482033,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,Aechmophorus occidentalis,2482033,NA,NA
15293,Podiceps nigricollis,Eared Grebe,NA,NA,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2482065,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps nigricollis,2482065,NA,NA
19007,Aegolius funereus,Boreal Owl,NA,NA,TRUE,SGIN - E,2024-04-16T00:00:00Z,NA,NA,5739298,Animalia,Chordata,Aves,Strigiformes,Strigidae,Aegolius,Aegolius funereus,5739298,NA,NA
15544,Asio flammeus,Short-eared Owl,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2497295,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,2497295,NA,NA
