Credibility Code,Sample Size,Precision,Abundance,Significance, AOU,Region,Species Name,Region Name,Model, N Routes, Trend, 2.5%CI, 97.5%CI,Relative Abundance
 Y,  , Y,  ,1,1720,QUE,Canada Goose                            ,Quebec                                  ,Dh,118,11.51,6.13,16.1,12.494
 R, Y, R,  ,  ,1720,RI ,Canada Goose                            ,Rhode Island                            ,Dh,6,4.6,-2.88,12.64,13.011
 Y,  , Y,  ,1,1720,SAS,Canada Goose                            ,Saskatchewan                            ,Dh,95,8.15,4.52,11.8,146.505
 R,  , R,  ,1,1720,SC ,Canada Goose                            ,South Carolina                          ,Dh,30,9.49,3.24,15.98,7.28
 Y,  , Y,  ,1,1720,SD ,Canada Goose                            ,South Dakota                            ,Dh,44,13.14,9.13,17.48,41.86
 Y,  , Y,  ,1,1720,TEN,Canada Goose                            ,Tennessee                               ,Dh,36,14.26,9.79,18.88,18.667
 R,  , R, Y,1,1720,TEX,Canada Goose                            ,Texas                                   ,Dh,21,8.33,0.13,15.64,0.672
 R,  , R,  ,  ,1720,UT ,Canada Goose                            ,Utah                                    ,Dh,40,3.46,-1.42,8.64,9.942
 Y,  , Y,  ,1,1720,VA ,Canada Goose                            ,Virginia                                ,Dh,49,11.3,6.59,15.88,31.103
 R,  , R,  ,1,1720,VT ,Canada Goose                            ,Vermont                                 ,Dh,23,12.84,7.41,18.66,14.576
 Y,  , Y,  ,  ,1720,WAS,Canada Goose                            ,Washington                              ,Dh,66,5.35,-0.04,9.54,8.777
 Y,  , Y,  ,1,1720,WIS,Canada Goose                            ,Wisconsin                               ,Dh,95,13.01,9.96,16.1,51.518
 R,  , R,  ,1,1720,WV ,Canada Goose                            ,West Virginia                           ,Dh,43,14.13,7.91,21.23,13.048
 Y,  , Y,  ,1,1720,WYO,Canada Goose                            ,Wyoming                                 ,Dh,72,7.82,3.27,12.47,16.599
 Y,  , Y,  ,1,1720,CA1,Canada Goose                            ,Canada                                  ,Dh,827,7.55,3.86,10.12,64.19
  ,  ,  ,  ,1,1720,US1,Canada Goose                            ,United States                           ,Dh,2416,6.96,4.24,8.89,34.855
  ,  ,  ,  ,1,1720,SU1,Canada Goose                            ,Survey-wide                             ,Dh,3243,7.12,4.23,8.91,45.785
 R, R, R, R,  ,1782,A05,Mute Swan                               ,Northern Pacific Rainforest             ,Dh,3,2,-5.57,13.98,0.041
 R, Y, R, R,  ,1782,S12,Mute Swan                               ,Boreal Hardwood Transition              ,Dh,5,3.4,-5.01,16.26,0.036
 R, Y, R, R,  ,1782,S13,Mute Swan                               ,Lower Great Lakes/ St. Lawrence Plain   ,Dh,10,4.66,-4.02,16.47,0.051
 R, Y, R, R,  ,1782,S22,Mute Swan                               ,Eastern Tallgrass Prairie               ,Dh,6,2.11,-5.84,11.28,0.026
 Y,  , Y, Y,1,1782,S23,Mute Swan                               ,Prairie Hardwood Transition             ,Dh,21,5.18,0.96,10.76,0.717
 Y,  , Y, Y,  ,1782,S28,Mute Swan                               ,Appalachian Mountains                   ,Dh,17,3.32,-1.34,8.42,0.219
 Y,  , Y,  ,  ,1782,S30,Mute Swan                               ,New England/mid-atlantic Coast          ,Dh,33,0.26,-4,3.91,2.09
 R, R, R, R,  ,1782,BC ,Mute Swan                               ,British Columbia                        ,Dh,3,2,-5.57,13.98,0.041
 R, Y, R, Y,  ,1782,CON,Mute Swan                               ,Connecticut                             ,Dh,8,2.99,-2.37,11.61,0.275
 R, R, R, R,  ,1782,ILL,Mute Swan                               ,Illinois                                ,Dh,3,3.02,-4.13,15.97,0.003
 R, Y, R, Y,  ,1782,IND,Mute Swan                               ,Indiana                                 ,Dh,6,2.46,-4.96,10.76,0.175
 R, Y, R, Y,  ,1782,MAS,Mute Swan                               ,Massachusetts                           ,Dh,10,4.63,-1.18,11.66,0.235
 R, Y, R, Y,  ,1782,MD ,Mute Swan                               ,Maryland                                ,Dh,5,2.42,-10.12,26.31,0.271
 Y,  , Y, Y,1,1782,MIC,Mute Swan                               ,Michigan                                ,Dh,23,4.7,0.16,10.04,0.341
 R, Y, R, Y,  ,1782,NJ ,Mute Swan                               ,New Jersey                              ,Dh,10,-4.31,-12.47,1.83,0.243
 Y, Y, Y,  ,  ,1782,NY ,Mute Swan                               ,New York                                ,Dh,11,0.85,-2.52,4.47,2.821
 R, Y, R, R,  ,1782,ONT,Mute Swan                               ,Ontario                                 ,Dh,10,4.66,-4.02,16.47,0.051
 R, Y, R, Y,1,1782,PA ,Mute Swan                               ,Pennsylvania                            ,Dh,6,8.03,0.48,22.28,0.127
 R, Y, R, R,  ,1782,CA1,Mute Swan                               ,Canada                                  ,Dh,13,2.14,-4.71,11.43,0.052
 Y,  , Y, Y,  ,1782,US1,Mute Swan                               ,United States                           ,Dh,82,1.04,-2.81,3.99,0.445
 Y,  , Y, Y,  ,1782,SU1,Mute Swan                               ,Survey-wide                             ,Dh,95,1.05,-2.77,3.94,0.314
 Y,  ,  , Y,  ,1440,A05,Wood Duck                               ,Northern Pacific Rainforest             ,Dh,70,-0.86,-2.53,0.68,0.138
 Y,  , Y, Y,1,1440,A06,Wood Duck                               ,Boreal Taiga Plains                     ,Dh,14,3.39,0.36,7.19,0.156
 R, Y, Y, R,  ,1440,S08,Wood Duck                               ,Boreal Softwood Shield                  ,Dh,6,1,-2.95,5.39,0.033
 R,  ,  , R,  ,1440,S09,Wood Duck                               ,Great Basin                             ,Dh,45,1.6,-0.31,3.57,0.082
 R,  ,  , R,  ,1440,S10,Wood Duck                               ,Northern Rockies                        ,Dh,36,0.14,-1.77,2.06,0.048
 Y,  ,  , Y,1,1440,S11,Wood Duck                               ,Prairie Potholes                        ,Dh,134,3.37,2.15,4.64,0.471
 Y,  ,  , Y,1,1440,S12,Wood Duck                               ,Boreal Hardwood Transition              ,Dh,172,1.85,0.74,3.01,0.433
 Y,  ,  , Y,1,1440,S13,Wood Duck                               ,Lower Great Lakes/ St. Lawrence Plain   ,Dh,154,1.34,0.37,2.35,0.599
 Y,  ,  , Y,1,1440,S14,Wood Duck                               ,Atlantic Northern Forest                ,Dh,155,1.53,0.38,2.63,0.15
 R, Y, Y, R,  ,1440,S15,Wood Duck                               ,Sierra Nevada                           ,Dh,6,1.16,-2.02,4.82,0.073
 R,  ,  , R,  ,1440,S17,Wood Duck                               ,Badlands and Prairies                   ,Dh,32,1.99,-0.2,4.34,0.066
 R, Y,  , R,  ,1440,S18,Wood Duck                               ,Shortgrass Prairie                      ,Dh,11,-0.02,-2.97,2.8,0.032
 Y,  ,  , Y,1,1440,S19,Wood Duck                               ,Central Mixed Grass Prairie             ,Dh,74,2.81,1.23,4.55,0.235
 Y,  ,  , Y,1,1440,S21,Wood Duck                               ,Oaks and Prairies                       ,Dh,37,2.29,0.39,4.41,0.161
 Y,  ,  , Y,1,1440,S22,Wood Duck                               ,Eastern Tallgrass Prairie               ,Dh,236,1.27,0.46,2.11,0.548
  ,  ,  ,  ,  ,1440,S23,Wood Duck                               ,Prairie Hardwood Transition             ,Dh,142,1.11,-0.03,2.23,1.942
 Y,  ,  , Y,1,1440,S24,Wood Duck                               ,Central Hardwoods                       ,Dh,121,0.99,0.05,2.01,0.454
 Y,  ,  , Y,  ,1440,S25,Wood Duck                               ,West Gulf Coastal Plain/ouachitas       ,Dh,74,0.69,-0.61,2.09,0.532
  ,  ,  ,  ,  ,1440,S26,Wood Duck                               ,Mississippi Alluvial Valley             ,Dh,53,-0.35,-1.86,1.09,1.996
 Y,  ,  , Y,  ,1440,S27,Wood Duck                               ,Southeastern Coastal Plain              ,Dh,260,0.72,-0.13,1.58,0.701
 Y,  ,  , Y,1,1440,S28,Wood Duck                               ,Appalachian Mountains                   ,Dh,273,1.02,0.2,1.82,0.348
 Y,  ,  , Y,  ,1440,S29,Wood Duck                               ,Piedmont                                ,Dh,112,0.95,-0.23,2.17,0.228
 Y,  ,  , Y,  ,1440,S30,Wood Duck                               ,New England/mid-atlantic Coast          ,Dh,116,0.46,-0.63,1.52,0.484
 Y,  ,  , Y,2,1440,S31,Wood Duck                               ,Peninsular Florida                      ,Dh,43,-2.72,-4.55,-0.92,0.561
 Y,  ,  , Y,  ,1440,S32,Wood Duck                               ,Coastal California                      ,Dh,35,1.72,-0.48,4.09,0.312
 Y,  ,  , Y,  ,1440,S37,Wood Duck                               ,Gulf Coastal Prairie                    ,Dh,19,1.97,-0.6,4.8,0.276
 Y,  ,  , Y,  ,1440,ALA,Wood Duck                               ,Alabama                                 ,Dh,83,0.95,-0.42,2.36,0.526
 R, R, Y, R,  ,1440,ALB,Wood Duck                               ,Alberta                                 ,Dh,3,-0.06,-4.04,4.35,0.005
 Y,  ,  , Y,  ,1440,ARK,Wood Duck                               ,Arkansas                                ,Dh,41,0.24,-1.41,1.86,0.685
 R,  ,  , R,  ,1440,BC ,Wood Duck                               ,British Columbia                        ,Dh,26,-0.73,-3.08,1.52,0.058
 Y,  ,  , Y,  ,1440,CAL,Wood Duck                               ,California                              ,Dh,61,1.32,-0.1,2.84,0.233
 R, Y, Y, R,  ,1440,COL,Wood Duck                               ,Colorado                                ,Dh,6,-1.13,-5.2,2.59,0.014
 Y,  ,  , Y,  ,1440,CON,Wood Duck                               ,Connecticut                             ,Dh,17,0.11,-2.09,2.3,0.593
 Y, Y,  , Y,  ,1440,DEL,Wood Duck                               ,Delaware                                ,Dh,13,0.68,-1.73,3.16,0.522
 Y,  ,  , Y,2,1440,FLA,Wood Duck                               ,Florida                                 ,Dh,74,-1.8,-3.22,-0.4,0.553
 Y,  ,  , Y,  ,1440,GA ,Wood Duck                               ,Georgia                                 ,Dh,90,0.74,-0.7,2.38,0.713
 Y,  ,  , Y,1,1440,IA ,Wood Duck                               ,Iowa                                    ,Dh,33,2.78,0.93,4.84,0.516
 R, Y, Y, R,  ,1440,IDA,Wood Duck                               ,Idaho                                   ,Dh,6,0.32,-2.77,3.56,0.085
 Y,  ,  , Y,  ,1440,ILL,Wood Duck                               ,Illinois                                ,Dh,93,1.09,-0.19,2.37,0.527
 Y,  ,  , Y,  ,1440,IND,Wood Duck                               ,Indiana                                 ,Dh,61,0.78,-0.5,2.14,0.97
 Y,  ,  , Y,1,1440,KAN,Wood Duck                               ,Kansas                                  ,Dh,44,2.97,1.11,4.99,0.355
 Y,  ,  , Y,  ,1440,KY ,Wood Duck                               ,Kentucky                                ,Dh,49,1.34,-0.26,3.15,0.507
  ,  ,  ,  ,  ,1440,LA ,Wood Duck                               ,Louisiana                               ,Dh,70,0.2,-1.42,1.8,1.053
 Y,  ,  , Y,1,1440,MAN,Wood Duck                               ,Manitoba                                ,Dh,56,2.92,1.02,5.09,0.292
 Y,  ,  , Y,1,1440,MAS,Wood Duck                               ,Massachusetts                           ,Dh,26,2.76,0.7,4.96,0.561
 Y,  ,  , Y,  ,1440,MD ,Wood Duck                               ,Maryland                                ,Dh,67,0.54,-0.68,1.76,0.495
 R,  ,  , R,  ,1440,ME ,Wood Duck                               ,Maine                                   ,Dh,36,0.23,-2.34,2.76,0.073
 Y,  ,  , Y,1,1440,MIC,Wood Duck                               ,Michigan                                ,Dh,71,2.45,0.87,4.2,0.755
  ,  ,  ,  ,1,1440,MIN,Wood Duck                               ,Minnesota                               ,Dh,77,1.32,0.03,2.63,1.828
 Y,  ,  , Y,  ,1440,MIS,Wood Duck                               ,Mississippi Flyway                      ,Dh,40,0.4,-1.71,2.47,0.736
 Y,  ,  , Y,  ,1440,MO ,Wood Duck                               ,Missouri                                ,Dh,69,1.39,-0.06,2.94,0.386
 R,  ,  , R,  ,1440,MON,Wood Duck                               ,Montana                                 ,Dh,21,2.69,-0.05,5.93,0.054
 Y,  ,  , Y,  ,1440,NB ,Wood Duck                               ,New Brunswick                           ,Dh,22,0.32,-2.04,2.5,0.117
 Y,  ,  , Y,  ,1440,NC ,Wood Duck                               ,North Carolina                          ,Dh,72,1.38,-0.11,2.86,0.706
 Y,  ,  , Y,1,1440,ND ,Wood Duck                               ,North Dakota                            ,Dh,38,3.15,1.23,5.2,0.655
 Y,  ,  , Y,1,1440,NEB,Wood Duck                               ,Nebraska                                ,Dh,49,3.02,1.24,4.78,0.412
 R, R, Y, R,  ,1440,NEV,Wood Duck                               ,Nevada                                  ,Dh,3,0.03,-3.77,4.29,0.034
 Y,  ,  , Y,  ,1440,NH ,Wood Duck                               ,New Hampshire                           ,Dh,24,1.83,-0.06,3.93,0.324
 Y,  ,  , Y,  ,1440,NJ ,Wood Duck                               ,New Jersey                              ,Dh,26,-1.25,-3.65,0.72,0.285
 Y,  ,  , Y,  ,1440,NS ,Wood Duck                               ,Nova Scotia                             ,Dh,21,2.46,-0.24,5.43,0.177
 Y,  ,  , Y,1,1440,NY ,Wood Duck                               ,New York                                ,Dh,107,1.26,0.17,2.41,0.5
 Y,  ,  , Y,  ,1440,OHI,Wood Duck                               ,Ohio                                    ,Dh,78,-0.53,-1.88,0.82,0.424
 Y,  ,  , Y,  ,1440,OKL,Wood Duck                               ,Oklahoma                                ,Dh,33,0.95,-0.87,2.76,0.172
 Y,  ,  , Y,1,1440,ONT,Wood Duck                               ,Ontario                                 ,Dh,119,2.38,1,3.88,0.246
 Y,  ,  , Y,  ,1440,ORE,Wood Duck                               ,Oregon                                  ,Dh,37,-1.06,-3.26,0.92,0.148
 Y,  ,  , Y,1,1440,PA ,Wood Duck                               ,Pennsylvania                            ,Dh,94,2.47,1.18,3.81,0.347
 Y,  ,  , Y,  ,1440,QUE,Wood Duck                               ,Quebec                                  ,Dh,56,1.89,-0.05,4.03,0.125
 R, R, Y, R,  ,1440,SAS,Wood Duck                               ,Saskatchewan                            ,Dh,4,1.25,-2.38,5.88,0.011
 Y,  ,  , Y,  ,1440,SC ,Wood Duck                               ,South Carolina                          ,Dh,33,-0.6,-2.55,1.27,0.349
 Y,  ,  , Y,1,1440,SD ,Wood Duck                               ,South Dakota                            ,Dh,28,3.67,1.48,6.24,0.405
 Y,  ,  , Y,  ,1440,TEN,Wood Duck                               ,Tennessee                               ,Dh,43,1.17,-0.12,2.7,0.359
