Credibility Code,Sample Size Code,Precision Code,Abundance Code,Significance,AOU,Region,Species,Region Name,Model,N Routes,Trend,2.5%CI,97.5%CI,Relative Abundance,Years
Y,,,Y,1,1440,S13,Wood Duck,Lower Great Lakes/St. Lawrence Plain,Dh,154,1.408,0.44,2.373,0.599,1966-2023
Y,,,Y,1,1440,S14,Wood Duck,Atlantic Northern Forest,Dh,158,1.504,0.494,2.581,0.157,1966-2023
R,Y,Y,R,,1440,S15,Wood Duck,Sierra Nevada,Dh,6,0.74,-2.629,4.293,0.069,1968-2023
R,,,R,,1440,S17,Wood Duck,Badlands and Prairies,Dh,32,1.509,-0.466,3.676,0.065,1967-2023
R,Y,Y,R,,1440,S18,Wood Duck,Shortgrass Prairie,Dh,11,0.161,-2.844,3.413,0.028,1967-2023
Y,,,Y,1,1440,S19,Wood Duck,Central Mixed Grass Prairie,Dh,77,3.472,1.859,5.21,0.251,1967-2023
Y,,,Y,1,1440,S21,Wood Duck,Oaks and Prairies,Dh,37,2.458,0.411,4.572,0.165,1967-2023
Y,,,Y,1,1440,S22,Wood Duck,Eastern Tallgrass Prairie,Dh,236,1.237,0.472,2.072,0.556,1966-2023
,,,,,1440,S23,Wood Duck,Prairie Hardwood Transition,Dh,144,0.893,-0.222,1.949,1.91,1966-2023
Y,,,Y,,1440,S24,Wood Duck,Central Hardwoods,Dh,122,0.855,-0.072,1.825,0.452,1966-2023
Y,,,Y,,1440,S25,Wood Duck,West Gulf Coastal Plain/ouachitas,Dh,74,0.536,-0.778,1.821,0.518,1967-2023
,,,,,1440,S26,Wood Duck,Mississippi Alluvial Valley,Dh,53,-0.296,-1.705,1.088,2.013,1966-2023
Y,,,Y,,1440,S27,Wood Duck,Southeastern Coastal Plain,Dh,262,0.633,-0.219,1.446,0.697,1966-2023
Y,,,Y,,1440,S28,Wood Duck,Appalachian Mountains,Dh,273,0.777,-0.028,1.526,0.346,1966-2023
Y,,,Y,,1440,S29,Wood Duck,Piedmont,Dh,113,0.931,-0.115,2.156,0.23,1966-2023
Y,,,Y,,1440,S30,Wood Duck,New England/mid-Atlantic Coast,Dh,120,0.52,-0.512,1.586,0.465,1966-2023
Y,,,Y,2,1440,S31,Wood Duck,Peninsular Florida,Dh,43,-3.135,-4.977,-1.342,0.545,1966-2023
Y,,,Y,,1440,S32,Wood Duck,Coastal California,Dh,35,1.351,-0.972,3.652,0.316,1968-2023
